nome_munip,pop_munip,total_casos,taxa_casos_100mil,porte_populacional
BONITO DE MINAS,11502,5,43.47,Pequeno porte
CORONEL FABRICIANO,110709,48,43.36,Grande porte
DIVISA ALEGRE,6946,3,43.19,Pequeno porte
SÃO SEBASTIÃO DO OESTE,6948,3,43.18,Pequeno porte
SÃO TOMÁS DE AQUINO,6980,3,42.98,Pequeno porte
ROCHEDO DE MINAS,2335,1,42.83,Pequeno porte
TEIXEIRAS,11680,5,42.81,Pequeno porte
BRAÚNAS,4737,2,42.22,Pequeno porte
MACHACALIS,7112,3,42.18,Pequeno porte
JOAQUIM FELÍCIO,4757,2,42.04,Pequeno porte
SANTA JULIANA,14497,6,41.39,Pequeno porte
SANTA RITA DE MINAS,7322,3,40.97,Pequeno porte
INDAIABIRA,7328,3,40.94,Pequeno porte
NEPOMUCENO,26882,11,40.92,Médio porte
BIQUINHAS,2482,1,40.29,Pequeno porte
IBERTIOGA,4999,2,40.01,Pequeno porte
GUARACIAMA,5005,2,39.96,Pequeno porte
CUPARAQUE,5026,2,39.79,Pequeno porte
FELISBURGO,7548,3,39.75,Pequeno porte
ESPERA FELIZ,25287,10,39.55,Médio porte
COIMBRA,7631,3,39.31,Pequeno porte
AREADO,15288,6,39.25,Pequeno porte
BELO VALE,7723,3,38.85,Pequeno porte
SANTA MARIA DO SALTO,5203,2,38.44,Pequeno porte
ITAVERAVA,5321,2,37.59,Pequeno porte
BAMBUÍ,23964,9,37.56,Médio porte
SÃO JOSÉ DO GOIABAL,5356,2,37.34,Pequeno porte
ARGIRITA,2681,1,37.30,Pequeno porte
MARAVILHAS,8113,3,36.98,Pequeno porte
SOBRÁLIA,5476,2,36.52,Pequeno porte
RIO PRETO,5493,2,36.41,Pequeno porte
POÇO FUNDO,16900,6,35.50,Pequeno porte
ARAPUÁ,2836,1,35.26,Pequeno porte
RESENDE COSTA,11578,4,34.55,Pequeno porte
OURO VERDE DE MINAS,5895,2,33.93,Pequeno porte
CORDISBURGO,8903,3,33.70,Pequeno porte
ARINOS,17850,6,33.61,Pequeno porte
BARROSO,20981,7,33.36,Médio porte
DIVISA NOVA,6039,2,33.12,Pequeno porte
ITUETA,6074,2,32.93,Pequeno porte
SANTO HIPÓLITO,3044,1,32.85,Pequeno porte
TAPARUBA,3093,1,32.33,Pequeno porte
CORONEL PACHECO,3095,1,32.31,Pequeno porte
CASCALHO RICO,3108,1,32.18,Pequeno porte
CAMANDUCAIA,21831,7,32.06,Médio porte
MORRO DO PILAR,3126,1,31.99,Pequeno porte
CACHOEIRA DE PAJEÚ,9470,3,31.68,Pequeno porte
MATHIAS LOBATO,3157,1,31.68,Pequeno porte
CÓRREGO DANTA,3168,1,31.57,Pequeno porte
GLAUCILÂNDIA,3177,1,31.48,Pequeno porte
PAULA CÂNDIDO,9597,3,31.26,Pequeno porte
PADRE CARVALHO,6466,2,30.93,Pequeno porte
BIAS FORTES,3282,1,30.47,Pequeno porte
SÃO JOÃO DO PARAÍSO,23797,7,29.42,Médio porte
CIPOTÂNEA,6811,2,29.36,Pequeno porte
ESTRELA DO INDAIÁ,3483,1,28.71,Pequeno porte
CAETÉ,45364,13,28.66,Médio porte
CABO VERDE,14074,4,28.42,Pequeno porte
CENTRAL DE MINAS,7059,2,28.33,Pequeno porte
CORDISLÂNDIA,3546,1,28.20,Pequeno porte
NOVA MÓDICA,3548,1,28.18,Pequeno porte
SÃO ROQUE DE MINAS,7100,2,28.17,Pequeno porte
TARUMIRIM,14280,4,28.01,Pequeno porte
PERDÕES,21577,6,27.81,Médio porte
CARVALHÓPOLIS,3614,1,27.67,Pequeno porte
MONTALVÂNIA,14621,4,27.36,Pequeno porte
PRATINHA,3658,1,27.34,Pequeno porte
CAMPANÁRIO,3739,1,26.75,Pequeno porte
NOVA PORTEIRINHA,7493,2,26.69,Pequeno porte
ALVARENGA,3783,1,26.43,Pequeno porte
ALVINÓPOLIS,15135,4,26.43,Pequeno porte
LAGAMAR,7588,2,26.36,Pequeno porte
DIVINOLÂNDIA DE MINAS,7655,2,26.13,Pequeno porte
SERRANIA,7667,2,26.09,Pequeno porte
TRÊS CORAÇÕES,80561,21,26.07,Médio porte
MEDEIROS,3861,1,25.90,Pequeno porte
MINDURI,3891,1,25.70,Pequeno porte
PEDRA DO INDAIÁ,3977,1,25.14,Pequeno porte
PERDIGÃO,11994,3,25.01,Pequeno porte
DELFIM MOREIRA,8007,2,24.98,Pequeno porte
MONTE CARMELO,48049,12,24.97,Médio porte
ESTRELA DO SUL,8057,2,24.82,Pequeno porte
