-,-,-,-,-,-,-,-,habitante,habitante,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,habitante,1.000 m³/ano,1.000 m³/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano
cod_munip,nome_munip,cod_prestador,nome_prestador,sigla_prestador,abrangencia_prestador,tipo_prestador,tipo_servico,pop_munip,pop_atendida_agua,vol_agua_anual,vol_agua_eta,vol_agua_desinfec,vol_agua_fluor,pop_atendida_esgoto,vol_esgoto_coletado,vol_esgoto_tratado,amostra_cloro,amostra_cloro_irregular,amostra_turbidez,"amostra_turbidez_irregular",amostra_coliformes,amostra_coliformes_irregular
313880,Lagoa Formosa,31375011,Serviço Autônomo de Água e Esgotos,SAAE,Local,Autarquia,Água e Esgoto,18.168,18.168,"1.333,56","1.316,33","17,23","1.278,39",18.168,"855,62","855,62",5.285,55,5.263,54,820,66
313890,Lagoa Grande,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,9.681,6.684,"487,17",0,"487,17","487,17",,,,538,3,535,0,169,0
313900,Lagoa Santa,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,66.744,57.553,"7.488,72",0,"7.488,72","7.488,72",33.492,"2.122,46","2.122,46",9.302,9,9.301,305,850,43
313910,Lajinha,31377011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,19.914,12.441,"686,27","666,53",0,"666,53",9.877,"470,48",0,4.380,5,4.427,549,314,0
313920,Lambari,31378011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,20.995,16.392,"1.952,80","1.927,69","25,11","1.927,69",15.945,"831,17",0,3.414,0,3.406,2,199,1
313925,Lamim,31379011,Prefeitura Municipal de Lamim,PML,Local,Administração pública direta,Água,3.366,3.366,100,100,0,0,,,,10,0,10,0,10,0
313930,Laranjal,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,6.856,4.571,"303,07","202,05","101,02","303,07",,,,7.085,0,7.105,5,197,1
313940,Lassance,31381011,Serviço Autônomo de Água e Esgotosl de Lassance,SAAE,Local,Autarquia,Água,6.494,6.494,540,145,380,"144,72",,,,120,2,120,0,120,5
313950,Lavras,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,105.756,94.648,"7.706,61","7.706,61",0,"7.706,61",91.051,"3.868,79","3.868,79",7.572,15,7.580,42,1.181,0
313960,Leandro Ferreira,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,3.222,2.082,"208,98",0,"208,98","208,98",1.913,"91,52",0,276,0,276,0,130,1
313980,Leme do Prado,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos,4.923,1.731,"115,98","115,98",0,"59,87",1.322,"72,21","72,21",6.476,3,6.476,23,457,0
313970,Leopoldina,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,52.690,39.418,"3.732,87","3.732,87",0,"3.732,87",,,,4.765,1,4.709,1,764,0
313990,Liberdade,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,4.994,3.720,"275,2","275,2",0,"275,2",,,,3.147,0,3.139,2,120,0
314000,Lima Duarte,31386011,Departamento Municipal de Água e Esgoto,DEMAE,Local,Autarquia,Água e Esgoto,16.749,15.663,"1.565,00","1.500,00",65,0,15.503,571,0,4.380,16,4.380,0,384,1
314010,Limeira do Oeste,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,7.640,5.399,"358,7","358,7",0,"358,7",5.253,"226,23","226,23",3.930,0,3.932,0,154,0
314015,Lontra,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,9.766,4.811,"237,12","118,56","118,56","237,12",2.052,"67,94","67,94",2.177,0,2.178,1,132,1
314020,Luisburgo,31386711,Prefeitura Municipal de Luisburgo,PML,Local,Administração pública direta,Água e Esgoto,6.249,1.840,314,314,0,296,1.840,180,0,3.650,5,3.650,20,222,3
314030,Luislândia,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,6.735,3.155,"132,53",0,"132,53","132,53",,,,510,0,510,0,133,1
314040,Luminárias,31387011,Prefeitura Municipal de Luminárias,PML,Local,Administração pública direta,Água e Esgoto,5.431,4.182,"497,66","497,66",0,0,4.178,60,0,720,0,96,0,1,0
314050,Luz,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,18.297,15.723,"1.388,02","694,01","694,01","1.388,02",,,,4.627,0,4.833,0,374,0
314053,Machacalis,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,7.112,5.563,"325,12","325,12",0,"325,12",,,,4.136,0,4.128,0,141,1
314055,Machado,31390011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,42.682,42.413,"3.214,91","3.139,77","75,14","3.139,77",42.413,"1.831,93","1.391,13",4.422,0,4.422,0,884,0
314060,Madre de Deus de Minas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,5.119,3.692,"274,73","137,37","137,36","274,73",,,,3.560,0,3.553,0,152,0
314070,Malacacheta,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,18.556,10.382,"558,85","558,85",0,"558,85",9.382,"290,93","290,93",4.543,0,4.521,1,221,0
314080,Mamonas,31392511,Prefeitura Municipal de Mamonas,PMM,Local,Administração pública direta,Água e Esgoto,6.565,3.627,"362,88",0,0,0,419,"27,7",0,40,0,60,0,60,17
314085,Manga,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,18.051,11.769,"769,99","769,99",0,"769,99",2.225,"85,28","85,28",3.218,0,3.216,1,262,0
314090,Manhuaçu,31394011,Serviço Autônomo Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,92.074,92.074,"5.754,74","4.944,24",780,"4.944,24",92.074,"4.530,60","4,8",32.480,48,31.640,50,3.460,10
314100,Manhumirim,31395011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,22.894,17.898,"1.734,48","1.419,12","315,36","1.734,48",17.485,875,0,4.380,0,4.380,0,192,0
314110,Mantena,31396011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,27.651,27.111,"2.698,68","2.608,68",0,"2.608,68",27.111,"2.024,00","1.518,00",8.183,80,8.230,126,674,0
314120,Mar de Espanha,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,12.985,10.705,"796,32","398,16","398,16","796,32",,,,2.595,0,2.636,1,280,3
314130,Maravilhas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,8.113,5.383,"399,3","399,3",0,"399,3",,,,551,0,552,1,169,0
314140,Maria da Fé,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,14.019,7.924,"537,35","537,35",0,"537,35",,,,6.221,0,6.206,3,242,2
314150,Mariana,31400011,Serviço Autônomo de Água e Esgoto de Mariana,SAAE,Local,Autarquia,Água e Esgoto,61.830,61.830,"7.098,27","3.723,92","3.374,35",0,61.830,"5.323,70",0,19.450,98,19.309,92,1.910,34
314160,Marilac,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,4.079,2.917,"266,23","266,23",0,"266,23",,,,3.072,3,3.047,10,110,0
314170,Mário Campos,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,15.814,14.154,"1.421,27","1.421,27",0,"1.421,27",,,,4.722,0,4.718,0,354,3
314180,Maripá de Minas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,3.000,2.371,"203,65",0,"203,65","203,65",,,,1.501,0,1.510,0,132,1
314190,Marliéria,31403011,Prefeitura Municipal de Marliéria,PMM,Local,Administração pública direta,Água e Esgoto,4.030,4.030,"1.145,00","1.140,00",0,0,2.860,147,0,5.160,0,5.160,0,96,0
314200,Marmelópolis,31404011,Prefeitura Municipal de Marmelópolis,PMM,Local,Administração pública direta,Água e Esgoto,2.701,2.686,460,200,0,0,1.900,305,0,72,72,72,72,72,72
314210,Martinho Campos,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,13.497,11.125,"877,19","362,96","514,23","877,19",6.605,"311,2","311,2",4.032,0,3.504,3,852,2
314220,Martins Soares,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,8.640,1.965,"136,69","136,69",0,"136,69",,,,2.272,0,2.272,0,93,1
314225,Mata Verde,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,8.700,6.927,"346,61","346,61",0,"346,61",6.927,"170,01","170,01",2.348,0,2.346,2,204,2
314230,Materlândia,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,4.415,2.022,"110,4",0,"110,4","110,4",,,,2.503,1,2.501,5,167,5
314240,Mateus Leme,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,31.631,22.121,"3.010,80","2.685,92","324,88","3.010,80",12.597,"721,54","721,54",11.631,0,11.633,11,737,71
314250,Mathias Lobato,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,3.157,2.371,"191,12","191,12",0,"191,12",,,,3.495,0,3.484,0,107,0
314260,Matias Barbosa,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,14.626,13.574,"1.041,34","258,23","783,11","1.041,34",,,,8.001,1,8.044,4,497,27
314270,Matias Cardoso,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,11.360,5.661,"367,17","258,09","109,08","367,17",,,,4.531,1,4.458,0,547,0
314280,Matipó,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,19.098,13.940,"896,43","836,29","60,14","896,43",,,,8.308,1,8.309,2,331,3
314290,Mato Verde,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,12.367,9.582,"598,9","598,9",0,"598,9",,,,9.105,0,9.099,0,362,0
314300,Matozinhos,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,38.469,31.537,"3.251,81","1.266,91","1.984,90","3.251,81",23.386,"1.088,15","598,49",5.760,1,5.758,3,771,18
314310,Matutina,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,3.733,2.579,"276,31","248,3","28,01","276,31",,,,4.611,2,4.611,1,254,0
314315,Medeiros,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,3.861,2.130,"158,66","79,33","79,33","158,66",,,,3.174,0,3.146,0,131,0
314320,Medina,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,20.701,13.552,"684,09","684,09",0,"684,09",12.625,"362,39","362,39",3.464,1,3.461,0,292,1
314330,Mendes Pimentel,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água,6.446,3.715,"194,18","194,18",0,"194,18",,,,3.605,75,3.605,51,220,0
314345,Mercês,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,10.775,7.333,"520,61","520,61",0,"520,61",,,,4.176,19,4.143,45,205,0
314350,Mesquita,31417011,Prefeitura Municipal de Mesquita,PMM,Local,Administração pública direta,Água e Esgoto,5.489,4.387,850,0,0,0,3.750,500,0,12,0,200,0,12,0
314360,Minas Novas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,31.509,11.698,"576,38","576,38",0,"576,38",6.459,"172,78","172,78",6.126,0,6.123,1,381,0
314380,Minduri,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,3.891,3.137,"234,43","234,43",0,"234,43",,,,3.054,0,3.047,0,158,0
314390,Mirabela,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,13.651,8.524,"440,45",0,"440,45","440,45",4.427,"149,87","149,87",3.359,2,3.359,0,213,0
314400,Miradouro,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,10.818,5.865,"397,22","397,22",0,"397,22",,,,3.347,1,3.351,26,186,1
314410,Miraí,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,15.205,10.095,"830,15","781,65","48,5","830,15",,,,5.197,0,5.211,3,489,0
314420,Miravânia,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,4.939,1.159,"86,01",0,"86,01","86,01",,,,717,0,698,0,135,1
314430,Moeda,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,4.948,1.891,"241,14","241,14",0,"241,14",,,,4.305,8,4.305,0,112,0
314435,Moema,31424012,Serviço Autônomo de Água e Esgoto de Moema,SAAEM,Local,Autarquia,Água e Esgoto,7.589,6.912,"512,38",0,"509,42",0,6.030,"435,52","435,52",278,0,370,28,278,14
314440,Monjolos,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,2.184,1.323,"178,41","90,86","87,55","178,41",,,,1.110,0,1.111,1,287,0
314450,Monsenhor Paulo,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,8.764,6.546,"418,38","418,38",0,"418,38",,,,3.492,0,3.480,0,171,0
314460,Montalvânia,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,14.621,9.567,"672,14","672,14",0,"672,14",1.248,"38,31","38,31",8.014,3,8.009,2,582,6
314465,Monte Alegre de Minas,31428011,Prefeitura Municipal de Monte Alegre de Minas,PMMAM,Local,Administração pública direta,Água e Esgoto,21.349,15.766,"1.225,73","1.037,10",0,"1.037,10",15.616,"601,14","573,11",3.793,6,3.793,5,562,6
314467,Monte Azul,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,20.544,12.299,"864,56","864,56",0,"864,56",1.177,"42,79","42,79",5.883,0,5.856,0,469,0
314470,Monte Belo,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,13.139,8.164,"652,05","326,03","326,02","652,05",,,,3.331,0,3.309,0,236,0
314480,Monte Carmelo,31431011,Departamento Municipal de Água e Esgoto,DMAE,Local,Autarquia,Água e Esgoto,48.049,48.049,"4.373,05","2.234,76","2.138,29",0,40.412,"2.385,60","1.583,78",90.378,0,40.238,0,1.932,0
314490,Monte Formoso,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos,4.939,1.886,"91,25","79,82","11,43","79,82",1.500,"59,79","59,79",4.660,2,4.660,6,413,0
314500,Monte Santo de Minas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,21.504,16.326,"1.499,47","1.392,62","106,85","1.499,47",,,,5.252,0,5.205,0,514,0
314505,Monte Sião,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,24.247,17.987,"1.826,84","1.826,84",0,"1.826,84",17.987,"869,38","836,02",12.771,1,12.728,38,542,3
314510,Montes Claros,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,417.478,350.351,"29.885,64","29.796,05","89,59","29.885,64",356.645,"11.890,23","11.890,23",27.373,9,27.080,27,3.999,64
314520,Montezuma,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,8.379,3.369,"188,06","188,06",0,"188,06",,,,3.321,36,3.321,5,132,0
313660,Morada Nova de Minas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,8.955,6.665,"570,84","570,84",0,"570,84",4.781,"234,58","234,58",588,0,589,0,222,0
314530,Morro da Garça,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,2.413,1.289,"146,03",0,"146,03","146,03",,,,508,0,508,0,157,0
314535,Morro do Pilar,31437011,Prefeitura Municipal de Morro do Pilar,PMMP,Local,Administração pública direta,Água,3.126,2.374,536,36,500,0,,,,5,0,5,0,3,0
314537,Munhoz,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,5.960,3.241,"304,84","304,84",0,"304,84",,,,3.453,0,3.449,1,100,3
314540,Muriaé,31439011,Departamento Municipal de Saneamento Urbano,DEMSUR,Local,Autarquia,Água e Esgoto,109.997,101.766,"8.854,80","7.826,60","788,4","7.826,60",101.766,"5.081,57","2.134,99",22.838,0,21.893,12,5.666,5
314545,Mutum,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,26.945,11.657,"775,12","775,12",0,"775,12",7.888,"320,37",0,5.463,0,5.463,0,338,0
314550,Muzambinho,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,20.522,15.672,"1.409,17","1.409,17",0,"1.409,17",,,,8.154,0,8.114,0,400,0
314560,Nacip Raydan,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,3.221,1.736,"117,76","117,76",0,"117,76",,,,418,0,401,0,107,1
314570,Nanuque,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,40.583,32.665,"2.695,98","2.695,98",0,"2.695,98",24.792,"981,46","218,4",10.024,1,9.968,50,727,0
314580,Naque,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,7.104,6.144,"342,68","342,68",0,"342,68",,,,2.368,0,2.341,0,155,0
314587,Natércia,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,4.727,2.722,"204,2","204,2",0,"204,2",2.078,"106,19",0,5.012,0,5.006,0,113,0
314590,Nazareno,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,8.710,5.541,"398,32","398,32",0,"398,32",,,,3.798,0,3.788,0,199,0
314600,Nepomuceno,31446011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,26.882,26.882,"2.520,00","1.870,00",0,"1.870,00",26.882,"1.900,00",0,4.680,0,4.680,0,351,0
314610,Ninheira,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,10.355,2.773,"309,45","309,45",0,"309,45",,,,8.321,0,8.321,1,133,5
314620,Nova Belém,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos,3.067,1.270,"65,24","63,63","1,61","65,24",1.270,"45,25","45,25",4.533,37,4.533,11,288,9
314625,Nova Era,31447011,Prefeitura Municipal de Nova Era,PMNE,Local,Administração pública direta,Água e Esgoto,17.524,16.472,"1.369,39","1.273,72","95,67","1.369,39",16.472,"676,7",0,11.000,0,1.440,10,192,4
314630,Nova Lima,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,97.378,90.168,"12.438,57","8.292,38","4.146,19","12.438,57",22.051,"1.269,20","1.269,20",18.182,0,18.182,9,1.514,26
314655,Nova Módica,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,3.548,2.308,"141,53","141,53",0,"141,53",1.852,"71,8",0,3.664,0,3.652,0,108,0
314640,Nova Ponte,31450011,Prefeitura Municipal de Nova Ponte,DMAE,Local,Administração pública direta,Água e Esgoto,16.046,13.765,"1.190,63","1.023,64",0,"1.023,64",13.765,"793,76","793,76",1.608,0,1.608,0,148,0
314650,Nova Porteirinha,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,7.493,4.207,"432,93","432,93",0,"432,93",1.671,"62,88","62,88",3.933,0,3.920,3,279,0
314660,Nova Resende,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,16.937,9.530,"700,97","700,97",0,"700,97",,,,4.439,0,4.417,2,247,0
314670,Nova Serrana,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,108.241,80.213,"6.432,05","6.432,05",0,"6.432,05",79.201,"2.940,26","2.940,26",5.220,5,5.220,1,908,35
314690,Nova União,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,5.739,3.001,"261,47","261,47",0,"261,47",,,,4.784,0,4.772,5,187,0
314710,Novo Cruzeiro,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,31.339,9.785,"489,12","489,12",0,"489,12",7.018,"208,92",0,4.562,0,4.560,9,200,0
314720,Novo Oriente de Minas,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos,10.800,5.611,"340,33","312,07","28,26","312,07",5.611,"191,49","191,49",2.014,23,505,0,373,0
314730,Novorizonte,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos,5.348,2.904,"225,94",0,"225,94","225,94",470,"18,05",0,714,9,711,4,772,1
314740,Olaria,31454011,Prefeitura Municipal de Olaria,PMO,Local,Administração pública direta,Água e Esgoto,1.694,1.694,"163,35",0,"163,35",0,1.694,59,0,0,0,72,0,72,69
314760,Olhos-d Água,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água,6.243,3.626,"171,22","151,21","12,91","151,21",,,,2.336,3,2.388,19,232,1
314770,Olímpio Noronha,31455011,Prefeitura Municipal de Olímpio Noronha,PMON,Local,Administração pública direta,Água e Esgoto,2.829,2.512,395,259,0,0,2.512,395,0,4.320,12,4.320,60,48,2
314780,Oliveira,31456011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,41.987,41.987,"3.020,57","3.020,57",0,"3.020,57",41.987,"1.798,87","1.746,48",5.784,1,5.872,4,2.100,0
314750,Oliveira Fortes,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,2.128,1.210,"70,31","70,31",0,"70,31",,,,1.082,0,1.064,26,123,0
314790,Onça de Pitangui,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,3.155,1.516,"109,02","109,02",0,"109,02",,,,239,0,239,3,135,1
314795,Orizânia,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,8.138,2.424,"125,57","125,57",0,"125,57",,,,2.312,0,2.312,0,101,0
314800,Ouro Branco,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,40.220,34.896,"2.894,18","2.848,54","45,64","2.894,18",34.355,"1.361,55","1.361,55",5.106,9,5.104,0,668,0
314810,Ouro Fino,31460011,Departamento Municipal Autônomo de Água e Esgoto,DMAAE,Local,Autarquia,Água e Esgoto,33.938,33.938,"2.684,88","1.426,08","1.258,80","1.426,08",33.938,"1.424,33",0,5.340,0,5.340,0,957,0
314820,Ouro Preto,31461012,Ouro Preto Serviços de Saneamento S.A.,SANEOURO,Local,Empresa privada,Água e Esgoto,74.824,65.196,"12.851,77","6.403,55","6.257,22",0,41.530,"3.218,05","35,96",24.600,118,24.600,724,4.438,150
314830,Ouro Verde de Minas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,5.895,3.404,"166,68","166,68",0,"166,68",3.122,"96,37",0,2.649,0,2.643,0,109,0
314840,Padre Carvalho,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos,6.466,3.766,"307,35","226,74","80,61","307,35",1.813,"63,44","63,44",3.101,35,3.108,160,631,1
314850,Padre Paraíso,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,20.346,10.932,"643,04","643,04",0,"643,04",,,,3.904,0,3.902,0,236,2
314860,Pai Pedro,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,6.098,1.613,"98,38",0,"98,38","98,38",,,,507,0,489,1,140,0
314870,Paineiras,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,4.440,3.278,"262,98",0,"262,98","262,98",,,,399,0,408,0,149,0
314880,Pains,31465011,Serviço Autônomo de Água e Esgoto de Pains,SAAE,Local,Autarquia,Água e Esgoto,8.308,8.279,966,0,966,0,7.087,772,0,2.958,0,2.958,0,2.958,0
314890,Paiva,31466011,Prefeitura Municipal de Paiva,PMP,Local,Administração pública direta,Água,1.517,1.517,53,53,0,0,,,,1,0,1,0,1,0
314900,Palma,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,6.606,4.730,"371,67","302,77","68,9","371,67",,,,3.741,0,3.762,0,372,5
314910,Palmópolis,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,5.196,3.989,"239,59","239,59",0,"239,59",,,,3.952,0,3.947,0,350,8
314915,Papagaios,31469011,Prefeitura Municipal de Papagaios,PMP,Local,Administração pública direta,Água e Esgoto,15.922,15.922,"1.125,00",0,"1.125,00",0,13.389,"1.030,00","1.030,00",4,0,4,0,4,0
314920,Pará de Minas,31471011,Águas de Pará de Minas S. A.,CAPAM,Local,Empresa privada,Água e Esgoto,95.616,95.616,"6.714,36","5.441,38","1.272,98","6.714,36",95.060,"4.715,96","4.715,96",10.733,0,10.733,0,5.356,0
