-,-,-,-,-,-,-,-,habitante,habitante,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,habitante,1.000 m³/ano,1.000 m³/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano
cod_munip,nome_munip,cod_prestador,nome_prestador,sigla_prestador,abrangencia_prestador,tipo_prestador,tipo_servico,pop_munip,pop_atendida_agua,vol_agua_anual,vol_agua_eta,vol_agua_desinfec,vol_agua_fluor,pop_atendida_esgoto,vol_esgoto_coletado,vol_esgoto_tratado,amostra_cloro,amostra_cloro_irregular,amostra_turbidez,"amostra_turbidez_irregular",amostra_coliformes,amostra_coliformes_irregular
310400,Arantina,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,2.779,2.359,207,0,207,207,,,,517,0,519,9,149,0
310410,Araponga,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,8.467,3.187,"182,2","132,07","50,13","182,2",,,,3.675,0,3.638,1,285,0
310420,Araporã,31037511,Prefeitura Municipal de Araporã,PMA,Local,Administração pública direta,Água e Esgoto,6.992,6.992,"1.410,25","1.410,25",0,0,6.992,"455,3","364,24",8.832,1,8.856,23,156,1
310430,Arapuá,31038012,Sistema Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,2.836,2.130,840,500,0,500,2.130,270,0,2.500,0,2.500,0,96,0
310390,Araújos,31039011,Sanarj Concessionária de Saneamento Básico Ltda,SANARJ,Local,Empresa privada,Água e Esgoto,9.523,8.229,"602,79","602,79",0,"602,79",7.899,"336,4","334,2",3.650,0,3.650,0,530,0
310440,Araxá,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,108.403,101.118,"8.485,16","8.485,16",0,"8.485,16",101.210,"4.591,78","3.309,57",5.478,0,5.472,0,1.150,6
310445,Arceburgo,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,10.990,9.098,"602,08","301,04","301,04","602,08",8.723,"376,33","310,65",3.372,0,3.350,0,230,0
310450,Arcos,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,40.658,36.944,"3.950,71","789,96","3.160,75","3.950,71",,,,10.858,3,10.859,0,814,4
310460,Areado,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,15.288,12.553,"800,23","533,49","266,74","800,23",,,,8.394,1,8.358,0,396,2
310470,Argirita,31044011,Prefeitura Municipal de Argirita,PMA,Local,Administração pública direta,Água e Esgoto,2.681,2.358,238,238,0,0,2.358,152,25,4.602,75,4.585,45,4.586,5
