nome_munip,vol_esgoto_coletado,vol_esgoto_tratado,volume_esgoto_in_natura,taxa_tratamento_pct,taxa_media_estado_pct
FRONTEIRA,508.37,0.00,508.37,0.00,63.99
PASSABÉM,18.09,0.00,18.09,0.00,63.99
PASSA QUATRO,1000.00,0.00,1000.00,0.00,63.99
PARAISÓPOLIS,902.00,0.00,902.00,0.00,63.99
PAINS,772.00,0.00,772.00,0.00,63.99
OURO VERDE DE MINAS,96.37,0.00,96.37,0.00,63.99
GONZAGA,250.00,0.00,250.00,0.00,63.99
MANHUAÇU,4530.60,4.80,4525.80,0.11,63.99
CENTRAL DE MINAS,297.60,1.00,296.60,0.34,63.99
ITANHANDU,1361.56,13.61,1347.95,1.00,63.99
OURO PRETO,3218.05,35.96,3182.09,1.12,63.99
CAMBUÍ,1272.43,19.97,1252.46,1.57,63.99
TRÊS PONTAS,2674.26,54.93,2619.33,2.05,63.99
DIVINÓPOLIS,8912.02,384.39,8527.63,4.31,63.99
BERTÓPOLIS,121.00,5.30,115.70,4.38,63.99
SÃO JOAQUIM DE BICAS,585.77,27.22,558.55,4.65,63.99
JUIZ DE FORA,25570.17,1896.75,23673.42,7.42,63.99
CONSELHEIRO PENA,931.69,89.60,842.09,9.62,63.99
RECREIO,467.00,45.00,422.00,9.64,63.99
GUANHÃES,1285.00,127.21,1157.79,9.90,63.99
CARAÍ,298.50,29.85,268.65,10.00,63.99
CARANGOLA,1335.74,165.19,1170.55,12.37,63.99
ITAMARANDIBA,599.56,81.08,518.48,13.52,63.99
BRUMADINHO,1023.27,142.04,881.23,13.88,63.99
PEDRA DOURADA,160.00,23.00,137.00,14.38,63.99
ARGIRITA,152.00,25.00,127.00,16.45,63.99
PEQUI,380.00,66.00,314.00,17.37,63.99
CAETÉ,2945.69,572.49,2373.20,19.43,63.99
NANUQUE,981.46,218.40,763.06,22.25,63.99
CARMO DO CAJURU,855.92,196.42,659.50,22.95,63.99
CATAGUASES,1927.41,461.95,1465.46,23.97,63.99
SETE LAGOAS,11403.18,2775.10,8628.08,24.34,63.99
PIRAJUBA,228.20,57.80,170.40,25.33,63.99
CACHOEIRA DA PRATA,180.92,56.08,124.84,31.00,63.99
SÃO JOSÉ DA VARGINHA,76.08,24.52,51.56,32.23,63.99
TRÊS CORAÇÕES,2718.00,877.96,1840.04,32.30,63.99
CLARAVAL,223.54,92.00,131.54,41.16,63.99
MURIAÉ,5081.57,2134.99,2946.58,42.01,63.99
CAPIM BRANCO,103.86,48.57,55.29,46.76,63.99
JUATUBA,483.82,227.84,255.98,47.09,63.99
DIAMANTINA,1102.46,529.75,572.71,48.05,63.99
SÃO GOTARDO,1612.85,791.54,821.31,49.08,63.99
SANTO ANTÔNIO DO AMPARO,553.00,277.00,276.00,50.09,63.99
PEDRO LEOPOLDO,1732.93,872.52,860.41,50.35,63.99
MATOZINHOS,1088.15,598.49,489.66,55.00,63.99
CORONEL FABRICIANO,3311.72,1851.49,1460.23,55.91,63.99
EXTREMA,1648.30,960.88,687.42,58.30,63.99
CONCEIÇÃO DO MATO DENTRO,472.13,287.45,184.68,60.88,63.99
ITABIRA,5245.34,3198.10,2047.24,60.97,63.99
LAGOA DOS PATOS,55.78,34.60,21.18,62.03,63.99
PATOS DE MINAS,7228.21,4490.98,2737.23,62.13,63.99
SÃO SEBASTIÃO DO RIO VERDE,130.00,81.00,49.00,62.31,63.99
PASSOS,6311.83,3947.51,2364.32,62.54,63.99
AIMORÉS,1657.95,1077.66,580.29,65.00,63.99
MONTE CARMELO,2385.60,1583.78,801.82,66.39,63.99
IBIRITÉ,4336.62,2918.59,1418.03,67.30,63.99
CONSELHEIRO LAFAIETE,4165.91,2919.45,1246.46,70.08,63.99
COQUEIRAL,347.04,247.23,99.81,71.24,63.99
PEDRO TEIXEIRA,63.55,45.62,17.93,71.79,63.99
ARAXÁ,4591.78,3309.57,1282.21,72.08,63.99
SERRA DA SAUDADE,29.94,22.03,7.91,73.58,63.99
CARMÓPOLIS DE MINAS,735.00,551.00,184.00,74.97,63.99
MANTENA,2024.00,1518.00,506.00,75.00,63.99
MACHADO,1831.93,1391.13,440.80,75.94,63.99
ITAMBÉ DO MATO DENTRO,85.00,65.00,20.00,76.47,63.99
CARATINGA,2280.75,1747.99,532.76,76.64,63.99
SANTANA DA VARGEM,204.87,163.66,41.21,79.88,63.99
ARAPORÃ,455.30,364.24,91.06,80.00,63.99
ITAGUARA,613.00,490.40,122.60,80.00,63.99
BARBACENA,1274.88,1024.62,250.26,80.37,63.99
CARMO DA MATA,308.83,250.09,58.74,80.98,63.99
RIBEIRÃO DAS NEVES,8816.45,7148.22,1668.23,81.08,63.99
CONQUISTA,241.03,197.95,43.08,82.13,63.99
ARCEBURGO,376.33,310.65,65.68,82.55,63.99
FRANCISCO DUMONT,46.03,38.88,7.15,84.47,63.99
SANTA LUZIA,6096.57,5163.78,932.79,84.70,63.99
CATAS ALTAS,268.00,227.80,40.20,85.00,63.99
IJACI,350.00,300.00,50.00,85.71,63.99
FUNILÂNDIA,64.96,55.99,8.97,86.19,63.99
ITABIRITO,3501.38,3052.34,449.04,87.18,63.99
CARMO DO PARANAÍBA,1055.49,922.75,132.74,87.42,63.99
CAMANDUCAIA,669.51,595.38,74.13,88.93,63.99
BOCAIÚVA,1495.50,1334.40,161.10,89.23,63.99
TIMÓTEO,2765.02,2468.85,296.17,89.29,63.99
TEÓFILO OTONI,3493.60,3197.10,296.50,91.51,63.99
ENGENHEIRO NAVARRO,90.82,83.72,7.10,92.18,63.99
ARAGUARI,15181.96,14119.00,1062.96,93.00,63.99
ANGELÂNDIA,188.43,175.68,12.75,93.23,63.99
RIO DOCE,160.00,150.00,10.00,93.75,63.99
PRESIDENTE KUBITSCHEK,208.00,196.00,12.00,94.23,63.99
ALPINÓPOLIS,576.77,547.79,28.98,94.98,63.99
PEDRA AZUL,482.53,459.38,23.15,95.20,63.99
ATALÉIA,137.64,131.13,6.51,95.27,63.99
MONTE ALEGRE DE MINAS,601.14,573.11,28.03,95.34,63.99
SÃO JOÃO DA PONTE,78.43,74.86,3.57,95.45,63.99
MONTE SIÃO,869.38,836.02,33.36,96.16,63.99
OLIVEIRA,1798.87,1746.48,52.39,97.09,63.99
CARBONITA,184.08,178.80,5.28,97.13,63.99
PARACATU,2634.20,2568.15,66.05,97.49,63.99
PATROCÍNIO,3633.00,3542.00,91.00,97.50,63.99
