codigo_ibge,internacoes_amebiase,internacoes_colera,internacoes_diarreia_provavel_infec,internacoes_esquistossomose,internacoes_febre_tifoide,internacoes_helmintiases,internacoes_leptospiroses
316730,0,0,3,0,0,0,0
316740,0,0,1,0,0,0,0
316790,0,0,3,0,0,0,0
316805,0,0,4,0,0,0,0
316860,0,2,2,1,0,0,0
316870,0,0,9,0,0,0,0
316880,0,0,3,0,0,0,0
316890,0,0,3,0,0,0,0
316900,0,0,8,0,0,0,0
316920,0,0,0,0,0,0,1
316930,0,0,8,0,0,0,0
316935,0,0,2,0,0,0,0
316940,0,0,11,0,0,0,0
316960,0,0,2,0,0,0,0
316970,0,1,7,0,0,0,0
316990,2,0,111,0,0,0,1
317010,0,0,4,0,1,0,1
317020,0,4,205,0,0,1,0
317030,0,0,16,0,0,0,0
317040,0,0,1,0,0,0,0
317043,0,0,2,0,0,0,0
317052,0,0,1,0,0,0,0
317060,0,0,1,0,0,0,0
317070,0,1,7,0,0,0,0
317080,0,0,4,0,0,0,0
317090,0,0,5,0,0,0,0
317100,0,0,2,0,0,0,0
317107,0,0,1,0,0,0,0
317120,0,0,12,0,0,0,1
317130,0,1,15,0,0,0,0
317160,0,0,5,0,0,0,0
317180,0,0,21,0,0,0,0
317200,0,1,63,0,0,0,0
317210,0,0,1,0,0,0,0
