"Município";"Internações"
"314860 PECANHA";13
"314870 PEDRA AZUL";11
"314875 PEDRA BONITA";4
"314900 PEDRA DOURADA";6
"314915 PEDRAS DE MARIA DA CRUZ";2
"314930 PEDRO LEOPOLDO";2
"314950 PEQUERI";1
"314980 PERDIZES";1
"314990 PERDOES";3
"314995 PERIQUITO";1
"315050 PIMENTA";3
"315057 PINTOPOLIS";1
"315080 PIRANGA";17
"315090 PIRANGUCU";1
"315100 PIRANGUINHO";1
"315110 PIRAPETINGA";1
"315120 PIRAPORA";11
"315130 PIRAUBA";4
"315140 PITANGUI";6
"315150 PIUMHI";22
"315160 PLANURA";2
"315170 POCO FUNDO";1
"315180 POCOS DE CALDAS";1
"315190 POCRANE";3
"315200 POMPEU";6
"315210 PONTE NOVA";1
"315220 PORTEIRINHA";20
"315250 POUSO ALEGRE";4
"315270 PRADOS";4
"315280 PRATA";24
"315290 PRATAPOLIS";1
"315310 PRESIDENTE BERNARDES";1
"315380 QUELUZITO";1
"315390 RAPOSOS";2
"315400 RAUL SOARES";6
"315410 RECREIO";6
"315420 RESENDE COSTA";24
"315430 RESPLENDOR";61
"315440 RESSAQUINHA";1
"315450 RIACHO DOS MACHADOS";2
"315460 RIBEIRAO DAS NEVES";26
"315470 RIBEIRAO VERMELHO";2
"315490 RIO CASCA";1
"315510 RIO DO PRADO";5
"315530 RIO MANSO";1
"315540 RIO NOVO";1
"315550 RIO PARANAIBA";6
"315560 RIO PARDO DE MINAS";39
"315570 RIO PIRACICABA";3
"315580 RIO POMBA";21
"315590 RIO PRETO";5
"315600 RIO VERMELHO";9
"315630 RODEIRO";11
"315650 RUBELITA";1
"315660 RUBIM";3
"315670 SABARA";22
"315680 SABINOPOLIS";53
"315690 SACRAMENTO";1
"315700 SALINAS";33
"315710 SALTO DA DIVISA";8
"315720 SANTA BARBARA";1
"315727 SANTA BARBARA DO MONTE VERDE";2
"315733 SANTA CRUZ DE MINAS";1
"315737 SANTA CRUZ DE SALINAS";2
"315750 SANTA EFIGENIA DE MINAS";6
"315765 SANTA HELENA DE MINAS";32
"315770 SANTA JULIANA";2
"315780 SANTA LUZIA";20
"315790 SANTA MARGARIDA";1
"315800 SANTA MARIA DE ITABIRA";2
"315810 SANTA MARIA DO SALTO";1
"315820 SANTA MARIA DO SUACUI";40
"315840 SANTANA DE CATAGUASES";1
"315850 SANTANA DE PIRAPAMA";1
"315890 SANTANA DO MANHUACU";1
"315895 SANTANA DO PARAISO";12
"315900 SANTANA DO RIACHO";1
"315920 SANTA RITA DE CALDAS";1
"315930 SANTA RITA DE JACUTINGA";1
"315950 SANTA RITA DO ITUETO";20
"315960 SANTA RITA DO SAPUCAI";2
"315970 SANTA ROSA DA SERRA";1
"315980 SANTA VITORIA";27
"316020 SANTO ANTONIO DO ITAMBE";1
"316030 SANTO ANTONIO DO JACINTO";6
"316040 SANTO ANTONIO DO MONTE";1
"316070 SANTOS DUMONT";2
"316090 SAO BRAS DO SUACUI";1
"316100 SAO DOMINGOS DO PRATA";3
"316110 SAO FRANCISCO";5
"316150 SAO GERALDO";7
"316200 SAO GONCALO DO SAPUCAI";40
"316210 SAO GOTARDO";4
"316220 SAO JOAO BATISTA DO GLORIA";7
"316225 SAO JOAO DA LAGOA";1
"316240 SAO JOAO DA PONTE";2
"316245 SAO JOAO DAS MISSOES";4
"316250 SAO JOAO DEL REI";12
"316255 SAO JOAO DO MANHUACU";3
"316260 SAO JOAO DO ORIENTE";1
"316270 SAO JOAO DO PARAISO";1
"316280 SAO JOAO EVANGELISTA";21
"316292 SAO JOAQUIM DE BICAS";1
"316294 SAO JOSE DA BARRA";6
"316295 SAO JOSE DA LAPA";3
"316330 SAO JOSE DO DIVINO";1
"316350 SAO JOSE DO JACURI";3
"316390 SAO PEDRO DA UNIAO";5
"316410 SAO PEDRO DO SUACUI";3
"316420 SAO ROMAO";6
"316450 SAO SEBASTIAO DO MARANHAO";13
"316470 SAO SEBASTIAO DO PARAISO";1
"316500 SAO TIAGO";6
"316530 SAO VICENTE DE MINAS";7
"316540 SAPUCAI-MIRIM";9
"316553 SARZEDO";3
"316555 SETUBINHA";8
"316570 SENADOR FIRMINO";1
"316610 SENHORA DO PORTO";2
"316630 SERICITA";5
"316670 SERRA DOS AIMORES";4
"316695 SERRANOPOLIS DE MINAS";2
"316700 SERRANOS";1
"316710 SERRO";3
"316720 SETE LAGOAS";19
"316730 SILVEIRANIA";3
"316740 SILVIANOPOLIS";1
"316790 TABULEIRO";3
"316805 TAPARUBA";4
"316860 TEOFILO OTONI";2
"316870 TIMOTEO";9
"316880 TIRADENTES";3
"316890 TIROS";3
"316900 TOCANTINS";8
"316930 TRES CORACOES";8
"316935 TRES MARIAS";2
"316940 TRES PONTAS";11
"316960 TUPACIGUARA";2
"316970 TURMALINA";7
"316990 UBA";111
"317010 UBERABA";4
"317020 UBERLANDIA";205
"317030 UMBURATIBA";16
"317040 UNAI";1
"317043 UNIAO DE MINAS";2
"317052 URUCUIA";1
"317060 VARGEM BONITA";1
"317070 VARGINHA";7
"317080 VARZEA DA PALMA";4
"317090 VARZELANDIA";5
"317100 VAZANTE";2
"317107 VEREDINHA";1
"317120 VESPASIANO";12
"317130 VICOSA";15
"317160 VIRGEM DA LAPA";5
"317180 VIRGINOPOLIS";21
"317200 VISCONDE DO RIO BRANCO";63
"317210 VOLTA GRANDE";1
