codigo_ibge,nome_municipio,sigla_uf,perc_atendimento_agua,perc_atendimento_esgoto
313370,Itatiaiuçu,MG,60.6,0.0
313375,Itaú de Minas,MG,94.73,0.0
313390,Itaverava,MG,30.58,0.0
313410,Itueta,MG,55.65,0.0
313430,Itumirim,MG,79.64,0.0
313440,Iturama,MG,84.16,81.03
313450,Itutinga,MG,69.3,0.0
313460,Jaboticatubas,MG,59.23,38.82
313470,Jacinto,MG,53.75,35.52
313480,Jacuí,MG,61.82,0.0
313505,Jaíba,MG,49.99,18.1
313510,Janaúba,MG,88.77,24.28
313520,Januária,MG,59.59,15.01
313535,Japonvar,MG,33.17,0.0
313560,Jequitaí,MG,60.94,0.0
313570,Jequitibá,MG,35.86,0.0
313580,Jequitinhonha,MG,58.0,45.78
313600,Joaíma,MG,55.23,45.75
313630,João Pinheiro,MG,72.74,68.54
313640,Joaquim Felício,MG,50.47,0.0
313650,Jordânia,MG,62.27,0.0
313655,José Raydan,MG,34.37,0.0
313660,Nova União,MG,52.29,0.0
313665,Juatuba,MG,89.18,33.47
313680,Juramento,MG,55.22,45.22
313690,Juruaia,MG,46.81,0.0
313695,Juvenília,MG,64.67,5.82
313710,Lagamar,MG,58.86,0.0
313730,Lagoa dos Patos,MG,65.36,44.66
313740,Lagoa Dourada,MG,55.96,6.02
313753,Lagoa Grande,MG,69.04,0.0
313760,Lagoa Santa,MG,86.23,50.18
313800,Laranjal,MG,66.67,0.0
313820,Lavras,MG,89.5,86.1
313830,Leandro Ferreira,MG,64.62,59.37
313840,Leopoldina,MG,74.81,0.0
313850,Liberdade,MG,74.49,0.0
313862,Limeira do Oeste,MG,70.67,68.76
313865,Lontra,MG,49.26,21.01
313868,Luislândia,MG,46.84,0.0
313880,Luz,MG,85.93,0.0
313890,Machacalis,MG,78.22,0.0
313910,Madre de Deus de Minas,MG,72.12,0.0
313920,Malacacheta,MG,55.95,50.56
313930,Manga,MG,65.2,12.33
313970,Maravilhas,MG,66.35,0.0
