cod_munip,nome_munip,pop_munip,pop_atendida_agua,vol_agua_anual,vol_agua_eta,vol_agua_desinfec,vol_agua_fluor,pop_atendida_esgoto,vol_esgoto_coletado,vol_esgoto_tratado,amostra_cloro,amostra_cloro_irregular,amostra_turbidez,amostra_turbidez_irregular,amostra_coliformes,amostra_coliformes_irregular,,cod_prestador,nome_prestador,sigla_prestador,abrangencia_prestador,tipo_prestador,tipo_servico
310280,Andrelândia,12189,9256,675.66,675.66,0.00,675.66,,,,3026,9,3011,7,304,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310280,Andrelândia,12189,,,,,,12189,689.00,0.00,,,,,,,,31028011,Prefeitura Municipal de Andrelândia,PMA,Local,Administração pública direta,Esgoto
310285,Angelândia,8594,5122,245.18,245.18,0.00,245.18,5040,188.43,175.68,4580,3,4580,19,720,0,,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
310290,Antônio Carlos,11471,7966,520.64,294.32,226.32,520.64,,,,3568,1,3503,0,472,2,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310290,Antônio Carlos,11471,,,,,,11065,2000.00,0.00,,,,,,,,31029011,Prefeitura Municipal de Antonio Carlos,PMAC,Local,Administração pública direta,Esgoto
310300,Antônio Dias,9233,3634,242.03,121.02,121.01,242.03,,,,2752,2,2731,0,187,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310310,Antônio Prado de Minas,1577,984,77.96,0.00,77.96,77.96,,,,480,0,489,55,124,2,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310320,Araçaí,2360,1753,147.06,0.00,147.06,147.06,,,,1015,0,1015,0,284,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310330,Aracitaba,2056,1558,189.50,0.00,189.50,189.50,,,,762,0,745,1,105,1,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310330,Aracitaba,2056,,,,,,1639,90.00,0.00,,,,,,,,31033011,Prefeitura Municipal de Aracitaba,PMA,Local,Administração pública direta,Esgoto
